"seller_id","seller_city","seller_state","seller_lat","seller_long","all_orders","delivered_orders","total_item_revenue","avg_review_score","reviewed_orders","one_star_rate","avg_delivery_lead_time","late_deliveries","avg_days_when_late","late_delivery_rate","seller_score","tier"
"6f83d9e4da896daae20b9b6b2d3ff8d2","PINHALAO","PR","-23.78967571984096","-50.05869520326818","11","11","765.19","4.36","11","0.09","15.02","0",NULL,"0.00",NULL,"Insufficient Data"
"1b8b75e227c9a9c100d0c210fb6176ce","SAO PAULO","SP","-23.539050227122882","-46.715773064756064","19","15","1914.83","3.37","19","0.32","15.00","1","4.77","0.07",NULL,"Insufficient Data"
"23a0ffca143a15b9b5bbdb7d552f626a","SAO PEDRO","SP","-22.551245258699225","-47.9065964219805","23","23","3718.51","3.91","23","0.17","11.50","3","6.56","0.13","23.83","Toxic"
"e504a4e2efaa45cbff7e268a2c58c956","SAO PEDRO","SP","-22.551245258699225","-47.9065964219805","11","10","1188.80","3.55","11","0.27","12.95","3","7.33","0.30",NULL,"Insufficient Data"
"8bdd8e3fd58bafa48af76b2c5fd71974","SAO PAULO","SP","-23.569490695195096","-46.611321773237286","11","9","2324.82","4.55","11","0.09","10.38","1","8.61","0.11",NULL,"Insufficient Data"
"3296662b1331dea51e744505065ae889","CATANDUVA","SP","-21.12241501822202","-48.96331895137842","1","1","517.80","5.00","1","0.00","3.40","0",NULL,"0.00",NULL,"Insufficient Data"
"9a03a4e9eb0b947652fae4f6121a3f5e","CATANDUVA","SP","-21.12241501822202","-48.96331895137842","7","7","1497.00","3.86","7","0.14","13.86","1","0.12","0.14",NULL,"Insufficient Data"
"5160d23075764e18e07c1f4a87fad743","SAO BERNARDO DO CAMPO","SP","-23.715603895819008","-46.55408471265639","34","33","2429.00","4.38","34","0.09","9.30","1","0.96","0.03","69.69","Good"
"f5a590cf36251cf1162ea35bef76fe84","SAO BERNARDO DO CAMPO","SP","-23.715603895819008","-46.55408471265639","117","113","53201.78","4.23","117","0.11","11.74","12","9.64","0.11","51.27","Toxic"
"88af55b4a7ca402b27df16f7c7c9b5d2","TABOAO DA SERRA","SP","-23.636703761016992","-46.7941224068253","1","0","130.00","1.00","1","1.00",NULL,"0",NULL,NULL,NULL,"Insufficient Data"
